,battingteam,bowlingteam,matchid,batsmanname,SR
403,Punjab Kings,Mumbai Indians,1254099,CH Gayle,25.0
326,Mumbai Indians,Punjab Kings,1254099,SS Tiwary,121.62162162162164
322,Mumbai Indians,Punjab Kings,1254099,KA Pollard,200.0
321,Mumbai Indians,Punjab Kings,1254099,HH Pandya,133.33333333333331
325,Mumbai Indians,Punjab Kings,1254099,SA Yadav,0.0
324,Mumbai Indians,Punjab Kings,1254099,RG Sharma,80.0
409,Punjab Kings,Mumbai Indians,1254099,Nathan Ellis,150.0
408,Punjab Kings,Mumbai Indians,1254099,N Pooran,66.66666666666666
402,Punjab Kings,Mumbai Indians,1254099,Aiden Markram,143.33333333333334
406,Punjab Kings,Mumbai Indians,1254099,KL Rahul,95.65217391304348
323,Mumbai Indians,Punjab Kings,1254099,Q de Kock,96.55172413793105
405,Punjab Kings,Mumbai Indians,1254099,H Brar,84.21052631578947
547,Rajasthan Royals,Sunrisers Hyderabad,1254100,R Tewatia,100.0
726,Sunrisers Hyderabad,Rajasthan Royals,1254100,Abhishek Sharma,141.1764705882353
727,Sunrisers Hyderabad,Rajasthan Royals,1254100,Jason Roy,166.66666666666669
728,Sunrisers Hyderabad,Rajasthan Royals,1254100,KS Williamson,125.5813953488372
729,Sunrisers Hyderabad,Rajasthan Royals,1254100,P Garg,0.0
730,Sunrisers Hyderabad,Rajasthan Royals,1254100,WP Saha,158.33333333333331
549,Rajasthan Royals,Sunrisers Hyderabad,1254100,Yashasvi Jaiswal,156.52173913043478
546,Rajasthan Royals,Sunrisers Hyderabad,1254100,R Parag,0.0
545,Rajasthan Royals,Sunrisers Hyderabad,1254100,MK Lomror,106.89655172413792
544,Rajasthan Royals,Sunrisers Hyderabad,1254100,Liam Livingstone,66.66666666666666
543,Rajasthan Royals,Sunrisers Hyderabad,1254100,Evin Lewis,150.0
548,Rajasthan Royals,Sunrisers Hyderabad,1254100,SV Samson,148.27586206896552
222,Kolkata Knight Riders,Punjab Kings,1254102,Shubman Gill,114.28571428571428
395,Punjab Kings,Kolkata Knight Riders,1254102,KL Rahul,123.21428571428572
218,Kolkata Knight Riders,Punjab Kings,1254102,KD Karthik,109.09090909090908
217,Kolkata Knight Riders,Punjab Kings,1254102,EJG Morgan,100.0
394,Punjab Kings,Kolkata Knight Riders,1254102,DJ Hooda,75.0
393,Punjab Kings,Kolkata Knight Riders,1254102,Aiden Markram,125.0
221,Kolkata Knight Riders,Punjab Kings,1254102,SP Narine,133.33333333333331
220,Kolkata Knight Riders,Punjab Kings,1254102,RA Tripathi,129.62962962962962
398,Punjab Kings,Kolkata Knight Riders,1254102,Shahrukh Khan,244.44444444444449
223,Kolkata Knight Riders,Punjab Kings,1254102,Tim Seifert,100.0
224,Kolkata Knight Riders,Punjab Kings,1254102,Venkatesh Iyer,138.77551020408163
219,Kolkata Knight Riders,Punjab Kings,1254102,N Rana,172.22222222222223
397,Punjab Kings,Kolkata Knight Riders,1254102,N Pooran,171.42857142857142
396,Punjab Kings,Kolkata Knight Riders,1254102,MA Agarwal,155.55555555555557
531,Rajasthan Royals,Royal Challengers Bangalore,1254103,K Tyagi,100.0
532,Rajasthan Royals,Royal Challengers Bangalore,1254103,Liam Livingstone,77.77777777777779
634,Royal Challengers Bangalore,Rajasthan Royals,1254103,V Kohli,125.0
633,Royal Challengers Bangalore,Rajasthan Royals,1254103,Srikar Bharat,125.71428571428572
631,Royal Challengers Bangalore,Rajasthan Royals,1254103,Devdutt Padikkal,147.36842105263156
