,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
2226,Royal Challengers Bangalore,Kings XI Punjab,1136568,V Kohli,21,0,0.0,4.0,16,0,0,29.0
2222,Royal Challengers Bangalore,Kings XI Punjab,1136568,CR Woakes,1,0,0.0,0.0,2,0,0,5.0
2221,Royal Challengers Bangalore,Kings XI Punjab,1136568,BB McCullum,0,1,0.0,0.0,1,0,0,2.0
2223,Royal Challengers Bangalore,Kings XI Punjab,1136568,Mandeep Singh,23,0,0.0,1.0,20,0,0,28.0
2227,Royal Challengers Bangalore,Kings XI Punjab,1136568,Washington Sundar,9,0,0.0,2.0,4,0,0,15.0
866,Kings XI Punjab,Royal Challengers Bangalore,1136568,Yuvraj Singh,4,0,0.0,1.0,4,0,0,9.0
865,Kings XI Punjab,Royal Challengers Bangalore,1136568,R Ashwin,33,0,1.0,3.0,21,0,0,42.0
636,Delhi Daredevils,Mumbai Indians,1136569,GJ Maxwell,13,0,1.0,1.0,6,0,0,20.0
637,Delhi Daredevils,Mumbai Indians,1136569,JJ Roy,93,0,6.0,6.0,54,1,0,123.0
1405,Mumbai Indians,Delhi Daredevils,1136569,SA Yadav,53,0,1.0,7.0,32,1,0,74.0
1404,Mumbai Indians,Delhi Daredevils,1136569,RG Sharma,19,0,0.0,2.0,16,0,0,25.0
635,Delhi Daredevils,Mumbai Indians,1136569,G Gambhir,15,0,0.0,2.0,16,0,0,21.0
1403,Mumbai Indians,Delhi Daredevils,1136569,M Markande,5,0,0.0,0.0,3,0,0,9.0
1402,Mumbai Indians,Delhi Daredevils,1136569,KH Pandya,12,0,0.0,1.0,11,0,0,17.0
1401,Mumbai Indians,Delhi Daredevils,1136569,KA Pollard,0,1,0.0,0.0,1,0,0,2.0
1400,Mumbai Indians,Delhi Daredevils,1136569,Ishan Kishan,44,0,2.0,5.0,23,0,0,57.0
1399,Mumbai Indians,Delhi Daredevils,1136569,HH Pandya,2,0,0.0,0.0,3,0,0,6.0
638,Delhi Daredevils,Mumbai Indians,1136569,RR Pant,47,0,2.0,6.0,25,0,0,61.0
1397,Mumbai Indians,Delhi Daredevils,1136569,A Dananjaya,4,0,0.0,0.0,5,0,0,8.0
1398,Mumbai Indians,Delhi Daredevils,1136569,E Lewis,55,0,4.0,5.0,31,1,0,80.0
639,Delhi Daredevils,Mumbai Indians,1136569,SS Iyer,27,0,1.0,3.0,20,0,0,36.0
2609,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,DJ Hooda,5,0,0.0,0.0,9,0,0,9.0
2610,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,KS Williamson,50,0,1.0,4.0,44,1,0,68.0
2611,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,MK Pandey,4,0,0.0,0.0,11,0,0,8.0
2612,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,S Dhawan,8,0,0.0,1.0,8,0,0,13.0
1240,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,AD Russell,9,0,1.0,0.0,5,0,0,15.0
1241,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,CA Lynn,49,0,1.0,7.0,34,0,0,62.0
1244,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,N Rana,18,0,1.0,2.0,16,0,0,26.0
1243,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,MG Johnson,5,0,0.0,0.0,5,0,0,9.0
2613,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,Shakib Al Hasan,27,0,1.0,2.0,21,0,0,35.0
1242,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,KD Karthik,32,0,1.0,2.0,27,0,0,40.0
2615,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,YK Pathan,18,0,1.0,2.0,8,0,0,26.0
1248,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,Shubman Gill,3,0,0.0,0.0,9,0,0,7.0
1247,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,Shivam Mavi,7,0,0.0,0.0,8,0,0,11.0
1246,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,SP Narine,12,0,0.0,1.0,11,0,0,17.0
1245,Kolkata Knight Riders,Sunrisers Hyderabad,1136570,RV Uthappa,3,0,0.0,0.0,8,0,0,7.0
2614,Sunrisers Hyderabad,Kolkata Knight Riders,1136570,WP Saha,27,0,0.0,5.0,18,0,0,36.0
2373,Royal Challengers Bangalore,Rajasthan Royals,1136571,Washington Sundar,37,0,3.0,1.0,21,0,0,48.0
